value1	FileName	value	Species	f. sp.	race	var	Strain	Other_Strain	Kingdom	Domain	Phylum	Subdivision	Class	Subclass	Order	Family	Genus	Database	Genome	JGI Acronims	Host	X1	typo	Host2	lifestyle	Publication
Fusarium_commune_MPI-SDFR-AT-0072	Fusarium_commune_MPI-SDFR-AT-0072_GeneCatalog_proteins_20180421.aa	Fusarium commune MPI-SDFR-AT-0072	Fusarium commune				MPI-SDFR-AT-0072		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Nectriaceae	Fusarium	JGI	Fusco1	Fusco1	conifers/crops			Plant	Hemibiotrophic	"Mesny F, Miyauchi S, Thiergart T, Pickel B, Atanasova L, Karlsson M, H¸ttel B, Barry KW, Haridas S, Chen C, Bauer D, Andreopoulos W, Pangilinan J, LaButti K, Riley R, Lipzen A, Clum A, Drula E, Henrissat B, Kohler A, Grigoriev IV, Martin FM, Hacquard S. Genetic determinants of endophytism in the Arabidopsis root mycobiome. Nat Commun. 2021 Dec 10;12(1):7227. doi: 10.1038/s41467-021-27479-y"""
Fusarium_culmorum_UK99	Fusarium_culmorum_UK99_GeneCatalog_proteins_20210311.aa	Fusarium culmorum UK99	Fusarium culmorum				UK99		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Nectriaceae	Fusarium	JGI	Fuscu1		cereals			Plant	Hemibiotrophic	"Urban M, King R, Andongabo A, Maheswari U, Pedro H, Kersey P, Hammond-Kosack K. First Draft Genome Sequence of a UK Strain (UK99) of Fusarium culmorum. Genome Announc. 2016 Sep 15;4(5):. doi: 10.1128/genomeA.00771-16"""
Fusarium_fujikuroi_IMI_58289	Fusarium_fujikuroi_IMI_58289_GeneCatalog_proteins_20130915.aa	Fusarium fujikuroi 	Fusarium fujikuroi				IMI 58289		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Nectriaceae	Fusarium	JGI	Fusfu1	Fusfu1	rice			Plant	Hemibiotrophic	"Wiemann P, Sieber CM, von Bargen KW, Studt L, Niehaus EM, Espino JJ, Hu√ü K, Michielse CB, Albermann S, Wagner D, Bergner SV, Connolly LR, Fischer A, Reuter G, Kleigrewe K, Bald T, Wingfield BD, Ophir R, Freeman S, Hippler M, Smith KM, Brown DW, Proctor RH, M√ºnsterk√∂tter M, Freitag M, Humpf HU, G√ºldener U, Tudzynski B Deciphering the cryptic genome: genome-wide analyses of the rice pathogen Fusarium fujikuroi reveal complex regulation of secondary metabolism and novel metabolites. PLoS Pathog. 2013;9(6):e1003475. doi: 10.1371/journal.ppat.1003475"
Fusarium_graminearum_PH-1	Fusarium_graminearum_PH-1_GeneCatalog_proteins_20110524.aa	Fusarium_graminearum_PH-1_refseq	Fusarium graminearum				PH-1	NRRL 31084	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Nectriaceae	Fusarium	JGI	Fusgr1	Fusgr1	Cereals/grasses	Triticum species		Plant	Hemibiotrophic	"Cuomo, C. A. et al. The Fusarium graminearum genome reveals a link between localized polymorphism and pathogen specialization. Science 317, 1400-1402, doi:10.1126/science.1143708 (2007)."
Fusarium_langsethiae_Fl201059	Fusarium_langsethiae_Fl201059_GeneCatalog_proteins_20210318.aa	Fusarium langsethiae Fl201059	Fusarum langsethiae				FI201059		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Nectriaceae	Fusarium	JGI	Fusla1		oat			Plant	Hemibiotrophic	"Lys¯e E, Frandsen RJN, Divon HH, Terzi V, Orr˘ L, Lamontanara A, Kolseth AK, Nielsen KF, Thrane U. Draft genome sequence and chemical profiling of Fusarium langsethiae, an emerging producer of type A trichothecenes. Int J Food Microbiol. 2016 Mar 16;221():29-36. doi: 10.1016/j.ijfoodmicro.2016.01.008"""
Fusarium_mangiferae_MRC7560	Fusarium_mangiferae_MRC7560_GeneCatalog_proteins_20210318.aa	Fusarium mangiferae MRC7560	Fusarium mangiferae				MRC7560		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Nectriaceae	Fusarium	JGI	Fusma1		mango			Plant	Hemibiotrophic	"Niehaus EM, M¸nsterkˆtter M, Proctor RH, Brown DW, Sharon A, Idan Y, Oren-Young L, Sieber CM, Nov·k O, P?n?Ìk A, Tarkowsk· D, Hromadov· K, Freeman S, Maymon M, Elazar M, Youssef SA, El-Shabrawy ES, Shalaby AB, Houterman P, Brock NL, Burkhardt I, Tsavkelova EA, Dickschat JS, Galuszka P, G¸ldener U, Tudzynski B Comparative ""Omics"" of the Fusarium fujikuroi Species Complex Highlights Differences in Genetic Potential and Metabolite Synthesis. Genome Biol Evol. 2016 Dec 31;8(11):3574-3599. doi: 10.1093/gbe/evw259"
Fusarium_oxysporum_32931	Fusarium_oxysporum_32931_GeneCatalog_proteins_20191005.aa	Fusarium_oxysporum_32931	Fusarium oxysporum				Fo 32931		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Nectriaceae	Fusarium	JGI	Fusox32931	Fusox32931	Human			Plant	Hemibiotrophic	"DeIulio GA, Guo L, Zhang Y, Goldberg JM, Kistler HC, Ma LJ. Kinome Expansion in the Fusarium oxysporum Species Complex Driven by Accessory Chromosomes. mSphere. 2018 Jun 13;3(3):e00231-18. doi: 10.1128/mSphere.00231-18. PMID: 29898984; PMCID: PMC6001611."
Fusarium_oxysporum_f._sp._conglutinans_race_2_54008	Fusarium_oxysporum_f-_sp-_conglutinans_race_2_54008_GeneCatalog_proteins_20191007.aa	Fusarium_oxysporum_f._sp._conglutinans_race_2_54008_genbank	Fusarium oxysporum	conglutinans	2		NRRL 54008		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Nectriaceae	Fusarium	JGI	Fusoxcon1	Fusoxcon1	Brassicaceae			Plant	Hemibiotrophic	"DeIulio GA, Guo L, Zhang Y, Goldberg JM, Kistler HC, Ma LJ. Kinome Expansion in the Fusarium oxysporum Species Complex Driven by Accessory Chromosomes. mSphere. 2018 Jun 13;3(3):e00231-18. doi: 10.1128/mSphere.00231-18. PMID: 29898984; PMCID: PMC6001611."
Fusarium_oxysporum_f._sp._lycopersici_4287	Fusarium_oxysporum_f-_sp-_lycopersici_4287_GeneCatalog_proteins_20150720.aa	Fusarium_oxysporum_f._sp._lycopersici_4287_refseq	Fusarium oxysporum	lycopersici			4287		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Nectriaceae	Fusarium	JGI	Fusox2	Fusox2	Tomato			Plant	Hemibiotrophic	"Ma LJ†et al.,†""Comparative genomics reveals mobile Pathogenicity chromosomes in Fusarium."",†Nature, 2010 Mar 18;464(7287):367-73"
Fusarium_oxysporum_f._sp._lycopersici_MN25	Fusarium_oxysporum_f-_sp-_lycopersici_MN25_GeneCatalog_proteins_20191005.aa	Fusarium_oxysporum_f._sp._lycopersici_MN25_genbank	Fusarium oxysporum	lycopersici			MN 25	NRRL 54003	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Nectriaceae	Fusarium	JGI	Fusoxlyc1	Fusoxlyc1	Tomato			Plant	Hemibiotrophic	"DeIulio GA, Guo L, Zhang Y, Goldberg JM, Kistler HC, Ma LJ. Kinome Expansion in the Fusarium oxysporum Species Complex Driven by Accessory Chromosomes. mSphere. 2018 Jun 13;3(3):e00231-18. doi: 10.1128/mSphere.00231-18. PMID: 29898984; PMCID: PMC6001611."
Fusarium_oxysporum_f._sp._melonis_26406	Fusarium_oxysporum_f-_sp-_melonis_26406_GeneCatalog_proteins_20191008.aa	Fusarium_oxysporum_f._sp._melonis_26406_genbank	Fusarium oxysporum	melonis			NRRL 26406		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Nectriaceae	Fusarium	JGI	Fusoxmel1	Fusoxmel1	Melon			Plant	Hemibiotrophic	"Ma LJ†et al.,†""Genome Sequence of Fusarium oxysporum f. sp. melonis Strain NRRL 26406, a Fungus Causing Wilt Disease on Melon."",†Genome Announc, 2014 Jul 31;2(4)"
Fusarium_oxysporum_f._sp._pisi_HDV247	Fusarium_oxysporum_f-_sp-_pisi_HDV247_GeneCatalog_proteins_20191008.aa	Fusarium_oxysporum_f._sp._pisi_HDV247_genbank	Fusarium oxysporum	pisi			HDV247	NRRL 37622	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Nectriaceae	Fusarium	JGI	Fusoxpis1	Fusoxpis1	Pea			Plant	Hemibiotrophic	"Williams AH, Sharma M, Thatcher LF, Azam S, Hane JK, Sperschneider J, Kidd BN, Anderson JP, Ghosh R, Garg G, Lichtenzveig J, Kistler HC, Shea T, Young S, Buck SA, Kamphuis LG, Saxena R, Pande S, Ma LJ, Varshney RK, Singh KB. Comparative genomics and prediction of conditionally dispensable sequences in legume-infecting Fusarium oxysporum formae speciales facilitates identification of candidate effectors. BMC Genomics. 2016 Mar 5;17:191. doi: 10.1186/s12864-016-2486-8. PMID: 26945779; PMCID: PMC4779268."
Fusarium_oxysporum_f._sp._radicis-lycopersici_26381	Fusarium_oxysporum_f-_sp-_radicis-lycopersici_26381_GeneCatalog_proteins_20191005.aa	Fusarium_oxysporum_f._sp._radicis-lycopersici_26381_genbank	Fusarium oxysporum	radicis-lycopersici			NRRL 26381		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Nectriaceae	Fusarium	JGI	Fusoxrad1	Fusoxrad1	Solanaceae/Fabaceae/Cucurbitaceae			Plant	Hemibiotrophic	"Hilber-Bodmer M†et al.,†""Competition assays and physiological experiments of soil and phyllosphere yeasts identify Candida subhashii as a novel antagonist of filamentous fungi"",†BMC Microbiology, 2017;17(1)"
Fusarium_oxysporum_f._sp._raphani_54005	Fusarium_oxysporum_f-_sp-_raphani_54005_GeneCatalog_proteins_20191007.aa	Fusarium_oxysporum_f._sp._raphani_54005_genbank	Fusarium oxysporum	raphani			NRRL 54005		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Nectriaceae	Fusarium	JGI	Fusoxrap1	Fusoxrap1	Brassicaceae			Plant	Hemibiotrophic	"DeIulio GA, Guo L, Zhang Y, Goldberg JM, Kistler HC, Ma LJ. Kinome Expansion in the Fusarium oxysporum Species Complex Driven by Accessory Chromosomes. mSphere. 2018 Jun 13;3(3):e00231-18. doi: 10.1128/mSphere.00231-18. PMID: 29898984; PMCID: PMC6001611."
Fusarium_oxysporum_f._sp._vasinfectum_25433	Fusarium_oxysporum_f-_sp-_vasinfectum_25433_GeneCatalog_proteins_20191007.aa	Fusarium_oxysporum_f._sp._vasinfectum_25433_genbank	Fusarium oxysporum	vasinfectum			NRRL 25433		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Nectriaceae	Fusarium	JGI	Fusoxvas1	Fusoxvas1	Malvaceae/Fabaceae			Plant	Hemibiotrophic	"DeIulio GA, Guo L, Zhang Y, Goldberg JM, Kistler HC, Ma LJ. Kinome Expansion in the Fusarium oxysporum Species Complex Driven by Accessory Chromosomes. mSphere. 2018 Jun 13;3(3):e00231-18. doi: 10.1128/mSphere.00231-18. PMID: 29898984; PMCID: PMC6001611."
Fusarium_oxysporum_Fo5176	Fusarium_oxysporum_Fo5176_GeneCatalog_proteins_20201111.aa	Fusarium_oxysporum_Fo5176	Fusarium oxysporum	conglutinans			Fo5176	NRRL 66176	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Nectriaceae	Fusarium	JGI	FoxFo5176	FoxFo5176	Arabidopsis			Plant	Hemibiotrophic	"Thatcher LF†et al.,†""A highly conserved effector in Fusarium oxysporum is required for full virulence on Arabidopsis."",†Mol Plant Microbe Interact, 2012 Feb;25(2):180-90"
Fusarium_oxysporum_Fusarium_sp._cubense_Foii5	Fusarium_oxysporum_Fusarium_sp-_cubense_Foii5_GeneCatalog_proteins_20201108.aa	Fusarium_oxysporum_Fusarium_sp._cubense_Foii5	Fusarium oxysporum	cubense			Foii5	NRRL 54006	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Nectriaceae	Fusarium	JGI	FoxII5	FoxII5	Banana			Plant	Hemibiotrophic	"Ma LJ, Zhang Y, Li C, Liu S, Liu C, Mostert D, Yu H, Haridas S, Webster K, Li M, Grigoriev I, Viljoen A, Yi G  Accessory genes in tropical race 4 contributed to the recent resurgence of the devastating disease of Fusarium wilt of banana. Res Sq. 2023 Aug 8;():. doi: 10.21203/rs.3.rs-3197485/v1 "
Fusarium_oxysporum_MRL8996_JGI	Fusarium_oxysporum_MRL8996_JGI_GeneCatalog_proteins_20200124.aa	Fusarium_oxysporum_MRL8996_JGI_GeneCatalog_proteins_20200124.aa	Fusarium oxysporum				MRL 8996		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Nectriaceae	Fusarium	JGI	FoxMRL8996	FoxMRL8996	Human			Mammal	Hemibiotrophic	"Zhang, Y. et al. The genome of opportunistic fungal pathogen†Fusarium oxysporum†carries a unique set of lineage-specific chromosomes. Commun. Biol. 3, 50 (2020)."
Fusarium_poae_2516	Fusarium_poae_2516_GeneCatalog_proteins_20210311.aa	Fusarium poae 2516	Fusarium poae				2516		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Nectriaceae	Fusarium	JGI	Fuspo1	Fuspo1	cereals			Plant	Hemibiotrophic	"Vanheule A, Audenaert K, Warris S, van de Geest H, Schijlen E, Hˆfte M, De Saeger S, Haesaert G, Waalwijk C, van der Lee T. Living apart together: crosstalk between the core and supernumerary genomes in a fungal plant pathogen. BMC Genomics. 2016 Aug 23;17():670. doi: 10.1186/s12864-016-2941-6"""
Fusarium_proliferatum_NRRL62905	Fusarium_proliferatum_NRRL62905_protein_longest	Fusarium proliferatum NRRL 62905	Fusarium proliferatum				NRRL 62905		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Nectriaceae	Fusarium	Genbank	GCA_900029915.1		crops			Plant	Hemibiotrophic	"Niehaus, E. M., M√ºnsterk√∂tter, M., Proctor, R. H., Brown, D. W., Sharon, A., Idan, Y., Oren-Young, L., Sieber, C. M., Nov√°k, O., Pƒõnƒç√≠k, A., Tarkowsk√°, D., Hromadov√°, K., Freeman, S., Maymon, M., Elazar, M., Youssef, S. A., El-Shabrawy, E. S., Shalaby, A. B., Houterman, P., Brock, N. L., Ä¶ Tudzynski, B. (2016). Comparative ""Omics"" of the Fusarium fujikuroi Species Complex Highlights Differences in Genetic Potential and Metabolite Synthesis.†Genome biology and evolution,†8(11), 3574Äì3599. https://doi.org/10.1093/gbe/evw259"
Fusarium_pseudograminearum_CS3096	Fusarium_pseudograminearum_CS3096_GeneCatalog_proteins_20170707.aa	Fusarium pseudograminearum CS3096	Fusarium pseudograminearum				CS3096		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Nectriaceae	Fusarium	JGI	Fusps1	Fusps1	wheat			Plant	Hemibiotrophic	"Gardiner DM, McDonald MC, Covarelli L, Solomon PS, Rusu AG, Marshall M, Kazan K, Chakraborty S, McDonald BA, Manners JM. Comparative pathogenomics reveals horizontally acquired novel virulence genes in fungi infecting cereal hosts. PLoS Pathog. 2012 Sep;8(9):e1002952. doi: 10.1371/journal.ppat.1002952"""
Fusarium_redolens_MPI-CAGE-AT-0023	Fusarium_redolens_MPI-CAGE-AT-0023_GeneCatalog_proteins_20170625.aa	Fusarium redolens MPI-CAGE-AT-0023	Fusarium redolens				MPI-CAGE-AT-0023		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Nectriaceae	Fusarium	JGI	Fusre1	Fusre1	plants			Plant	Hemibiotrophic	"Mesny F, Miyauchi S, Thiergart T, Pickel B, Atanasova L, Karlsson M, H¸ttel B, Barry KW, Haridas S, Chen C, Bauer D, Andreopoulos W, Pangilinan J, LaButti K, Riley R, Lipzen A, Clum A, Drula E, Henrissat B, Kohler A, Grigoriev IV, Martin FM, Hacquard S. Genetic determinants of endophytism in the Arabidopsis root mycobiome. Nat Commun. 2021 Dec 10;12(1):7227. doi: 10.1038/s41467-021-27479-y"""
Fusarium_solani_FSSC-5	Fusarium_solani_FSSC-5_GeneCatalog_proteins_20180401.aa	Neocosmospora solani (Fusarium solani) FSSC 5	Fusarium solani				FSSC 5		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Nectriaceae	Fusarium	JGI	Fusso1	Fusso1	Arabidopsis			Plant	Hemibiotrophic	"Mesny F, Miyauchi S, Thiergart T, Pickel B, Atanasova L, Karlsson M, H√ºttel B, Barry KW, Haridas S, Chen C, Bauer D, Andreopoulos W, Pangilinan J, LaButti K, Riley R, Lipzen A, Clum A, Drula E, Henrissat B, Kohler A, Grigoriev IV, Martin FM, Hacquard S. Genetic determinants of endophytism in the Arabidopsis root mycobiome. Nat Commun. 2021 Dec 10;12(1):7227. doi: 10.1038/s41467-021-27479-y"
Fusarium_tricinctum_MPI-SDFR-AT-0044	Fusarium_tricinctum_MPI-SDFR-AT-0044_GeneCatalog_proteins_20180510.aa	Fusarium tricinctum†MPI-SDFR-AT-0044	Fusarium tricinctum				MPI-SDFR-AT-0044		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Nectriaceae	Fusarium	JGI	Fustri1	Fustri1	cereals			Plant	Hemibiotrophic	"Mesny F, Miyauchi S, Thiergart T, Pickel B, Atanasova L, Karlsson M, H¸ttel B, Barry KW, Haridas S, Chen C, Bauer D, Andreopoulos W, Pangilinan J, LaButti K, Riley R, Lipzen A, Clum A, Drula E, Henrissat B, Kohler A, Grigoriev IV, Martin FM, Hacquard S. Genetic determinants of endophytism in the Arabidopsis root mycobiome. Nat Commun. 2021 Dec 10;12(1):7227. doi: 10.1038/s41467-021-27479-y"""
Fusarium_tricinctum_MPI-SDFR-AT-0068	Fusarium_tricinctum_MPI-SDFR-AT-0068_GeneCatalog_proteins_20180511.aa	Fusarium tricinctum MPI-SDFR-AT-0068	Fusarium tricinctum				MPI-SDFR-AT-0068		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Nectriaceae	Fusarium	JGI	Fustr1	Fustr1	cereals			Plant	Hemibiotrophic	"Mesny F, Miyauchi S, Thiergart T, Pickel B, Atanasova L, Karlsson M, H¸ttel B, Barry KW, Haridas S, Chen C, Bauer D, Andreopoulos W, Pangilinan J, LaButti K, Riley R, Lipzen A, Clum A, Drula E, Henrissat B, Kohler A, Grigoriev IV, Martin FM, Hacquard S. Genetic determinants of endophytism in the Arabidopsis root mycobiome. Nat Commun. 2021 Dec 10;12(1):7227. doi: 10.1038/s41467-021-27479-y"""
Fusarium_vanettenii_77-13-4	Fusarium_vanettenii_77-13-4_best_proteins	Fusarium vanettenii 77-13-4	Fusarium vanettenii 				77-13-04		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Nectriaceae	Fusarium	JGI	Necha2	Necha2	crops			Plant	Hemibiotrophic	"Coleman JJ, Rounsley SD, Rodriguez-Carres M, Kuo A, Wasmann CC, Grimwood J, Schmutz J, Taga M, White GJ, Zhou S, Schwartz DC, Freitag M, Ma LJ, Danchin EG, Henrissat B, Coutinho PM, Nelson DR, Straney D, Napoli CA, Barker BM, Gribskov M, Rep M, Kroken S, Moln·r I, Rensing C, Kennell JC, Zamora J, Farman ML, Selker EU, Salamov A, Shapiro H, Pangilinan J, Lindquist E, Lamers C, Grigoriev IV, Geiser DM, Covert SF, Temporini E, Vanetten HD. The genome of Nectria haematococca: contribution of supernumerary chromosomes to gene expansion. PLoS Genet. 2009 Aug;5(8):e1000618. doi: 10.1371/journal.pgen.1000618"""
Fusarium_verticillioides_7600	Fusarium_verticillioides_7600_GeneCatalog_proteins_20150720.aa	Fusarium_verticillioides_7600_refseq	Fusarium verticillioides				7600	NRRL 20956	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Nectriaceae	Fusarium	JGI	Fusve2	Fusve2	Crops	Zea mays		Plant	Hemibiotrophic	"Ma LJ et al., Comparative genomics reveals mobile Pathogenicity chromosomes in Fusarium., Nature, 2010 Mar 18;464(7287):367-73"
Pyricularia_oryzae_70-15	Pyricularia_oryzae_70-15_GeneCatalog_proteins_20190828.aa	Pyricularia_oryzae_70-15_refseq	Pyricularia oryzae				70-15		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariomycetidae	Magnaporthales	Pyriculariaceae	Pyricularia	JGI	Magor	Magor1	Grass	Oryza sativa		Plant	Hemibiotrophic	"Dean RA†et al.,†""The genome sequence of the rice blast fungus Magnaporthe grisea."",†Nature, 2005 Apr 21;434(7036):980-6"
Verticillium_dahliae_VdLs.17	Verticillium_dahliae_VdLs-17_GeneCatalog_proteins_20110524.aa	Verticillium_dahliae_VdLs.17_refseq	Verticillium dahliae				VdLs.17		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Trichosphaeriales	Trichosphaeriaceae	Verticillium	JGI	Verda1	Verda1	Crops (lettuce)	Lactuca sativa		Plant	Hemibiotrophic	"Klosterman SJ†et al.,†""Comparative genomics yields insights into niche adaptation of plant vascular wilt pathogens."",†PLoS Pathog, 2011 Jul;7(7):e1002137"
Phytophthora_infestans_T30-4	Phytophthora_infestans_T30-4_protein_longest	Phytophthora_infestans_T30-4	Phytophthora infestans				T30-4				Oomycota		Oomycetes		Peronosporales	Peronosporaceae	Phytophthora	Refseq	GCF_000142945.1		Tomato/Potato			Plant	Hemibiotrophic	"Haas BJ, Kamoun S, Zody MC, Jiang RH, Handsaker RE, Cano LM, Grabherr M, Kodira CD, Raffaele S, Torto-Alalibo T, Bozkurt TO, Ah-Fong AM, Alvarado L, Anderson VL, Armstrong MR, Avrova A, Baxter L, Beynon J, Boevink PC, Bollmann SR, Bos JI, Bulone V, Cai G, Cakir C, Carrington JC, Chawner M, Conti L, Costanzo S, Ewan R, Fahlgren N, Fischbach MA, Fugelstad J, Gilroy EM, Gnerre S, Green PJ, Grenville-Briggs LJ, Griffith J, Gr√ºnwald NJ, Horn K, Horner NR, Hu CH, Huitema E, Jeong DH, Jones AM, Jones JD, Jones RW, Karlsson EK, Kunjeti SG, Lamour K, Liu Z, Ma L, Maclean D, Chibucos MC, McDonald H, McWalters J, Meijer HJ, Morgan W, Morris PF, Munro CA, O'Neill K, Ospina-Giraldo M, Pinz√≥n A, Pritchard L, Ramsahoye B, Ren Q, Restrepo S, Roy S, Sadanandom A, Savidor A, Schornack S, Schwartz DC, Schumann UD, Schwessinger B, Seyer L, Sharpe T, Silvar C, Song J, Studholme DJ, Sykes S, Thines M, van de Vondervoort PJ, Phuntumart V, Wawra S, Weide R, Win J, Young C, Zhou S, Fry W, Meyers BC, van West P, Ristaino J, Govers F, Birch PR, Whisson SC, Judelson HS, Nusbaum C. Genome sequence and analysis of the Irish potato famine pathogen Phytophthora infestans. Nature. 2009 Sep 17;461(7262):393-8. doi: 10.1038/nature08358. Epub 2009 Sep 9. PMID: 19741609."
Botritis_cinerea_B05-10	Botritis_cinerea_B05-10_GeneCatalog_proteins_20110903.aa	Botrytis cinerea B05.10	Botrytis cinerea				B05.10		Fungi	Dikarya	Ascomycota	Pezizomycotina	Leotiomycetes	Leoteomycetidae	Helotiales	Sclerotiniaceae	Botrytis	JGI	Botci1	Botci1	fruits crops			Plant	Necrotrophic	"Staats M, van Kan JA. Genome update of Botrytis cinerea strains B05.10 and T4. Eukaryot Cell. 2012 Nov;11(11):1413-4. doi: 10.1128/EC.00164-12; Amselem J, Cuomo CA, van Kan JA, Viaud M, Benito EP, Couloux A, Coutinho PM, de Vries RP, Dyer PS, Fillinger S, Fournier E, Gout L, Hahn M, Kohn L, Lapalu N, Plummer KM, Pradier JM, QuÈvillon E, Sharon A, Simon A, ten Have A, Tudzynski B, Tudzynski P, Wincker P, Andrew M, Anthouard V, Beever RE, Beffa R, Benoit I, Bouzid O, Brault B, Chen Z, Choquer M, CollÈmare J, Cotton P, Danchin EG, Da Silva C, Gautier A, Giraud C, Giraud T, Gonzalez C, Grossetete S, G¸ldener U, Henrissat B, Howlett BJ, Kodira C, Kretschmer M, Lappartient A, Leroch M, Levis C, Mauceli E, NeuvÈglise C, Oeser B, Pearson M, Poulain J, Poussereau N, Quesneville H, Rascle C, Schumacher J, SÈgurens B, Sexton A, Silva E, Sirven C, Soanes DM, Talbot NJ, Templeton M, Yandava C, Yarden O, Zeng Q, Rollins JA, Lebrun MH, Dickman M. Genomic analysis of the necrotrophic fungal pathogens Sclerotinia sclerotiorum and Botrytis cinerea. PLoS Genet. 2011 Aug;7(8):e1002230. doi: 10.1371/journal.pgen.1002230"
Ceratocystis_fimbriata_CBS114723	Ceratocystis_fimbriata_CBS114723_protein_longest	Ceratocystis fimbriata CBS 114723†	Ceratocystis fimbriata				CBS 114723		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Microescales	Ceratocystidaceae	Ceratocystis	Genbank	GCA_000389695.3		Sweet potato			Plant	Necrotrophic	"Wilken PM, Steenkamp ET, Wingfield MJ, de Beer ZW, Wingfield BD. IMA Genome-F 1: Ceratocystis fimbriata: Draft nuclear genome sequence for the plant pathogen, Ceratocystis fimbriata. IMA Fungus. 2013 Dec;4(2):357-8. doi: 10.5598/imafungus.2013.04.02.14. Epub 2013 Dec 6. PMID: 24563841; PMCID: PMC3905947."
Ceratocystis_platani_CFO	Ceratocystis_platani_CFO_protein_longest	Ceratocystis platani CFO	Ceratocystis platani				CFO		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Microescales	Ceratocystidaceae	Ceratocystis	Genbank	GCA_000978885.1		Platanus tree			Plant	Necrotrophic	"Zubaer A, Wai A, Hausner G. The mitochondrial genome of Endoconidiophora resinifera is intron rich. Sci Rep. 2018 Dec 4;8(1):17591. doi: 10.1038/s41598-018-35926-y. PMID: 30514960; PMCID: PMC6279837."
Verticillium_alfalfae_VaMs-102	Verticillium_alfalfae_VaMs-102_GeneCatalog_proteins_20131030.aa	Verticillium alfalfae VaMs.102	Verticillium alfalfae				VaMs.102		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Trichosphaeriales	Trichosphaeriaceae	Verticillium	JGI	Veral1	Veral1	Medicago sativa			Plant	Necrotrophic	"Klosterman SJ, Subbarao K V., Kang S, Veronese P, Gold SE, Thomma BPHJ, et al. Comparative Genomics Yields Insights into Niche Adaptation of Plant Vascular Wilt Pathogens. PLoS Pathog. 2011; 7: e1002137. https://doi.org/10.1371/journal.ppat.1002137 PMID: 21829347"
